role_level,position,age,experience_years,avg_task_completion,attendance_rate,projects_handled,overtime_hours,training_hours,FeedBack_Percentage,Productivity_Risk
Junior,Business Analyst,31,5,3,3,10,14,22,88.25,Low
Junior,QA Tester,30,6,2,3,8,21,12,66.0,Medium
Trainee,Business Analyst,23,2,3,1,3,36,14,31.0,High
Senior,DevOps Engineer,35,12,4,5,12,12,26,96.0,Low
Junior,System Administrator,24,2,3,3,5,17,17,78.3,Low
Senior,QA Tester,39,10,4,5,18,23,34,96.0,Low
Junior,IT Manager,30,4,2,3,8,33,17,64.7,Medium
Junior,QA Tester,29,2,3,3,5,28,22,70.6,Medium
Trainee,UX Designer,21,0,2,2,1,37,8,24.2,High
Senior,DevOps Engineer,43,11,4,5,11,19,24,96.0,Low
Senior,Data Engineer,44,16,5,5,11,19,24,96.0,Low
Trainee,Solution Architect,24,1,3,2,3,29,10,50.85,High
Senior,DevOps Engineer,50,24,4,5,18,19,23,96.0,Low
Junior,Data Analyst,27,7,3,5,9,20,18,96.0,Low
Trainee,Database Administrator,22,1,2,3,2,38,8,36.85,High
Junior,System Analyst,32,2,3,4,8,13,11,88.4,Low
Senior,Database Administrator,50,19,4,3,17,24,21,96.0,Low
Senior,QA Engineer,43,10,4,4,12,21,20,96.0,Low
Junior,QA Tester,31,3,3,4,8,18,18,87.15,Low
Senior,Cloud Engineer,47,16,4,4,18,21,18,96.0,Low
Trainee,Business Analyst,21,1,3,2,4,38,9,36.05,High
Senior,System Analyst,50,23,5,5,17,8,37,96.0,Low
Junior,QA Engineer,25,2,2,4,4,12,21,78.5,Low
Senior,UX Researcher,39,10,5,4,17,18,25,96.0,Low
Junior,UX Researcher,29,3,4,3,8,33,16,79.85,Low
Junior,UX Researcher,33,5,3,5,5,26,12,87.35,Low
Junior,IT Manager,33,3,4,4,7,25,16,96.0,Low
Trainee,DevOps Engineer,25,1,2,2,3,33,15,38.05,High
Trainee,UX Designer,25,0,2,1,2,44,16,18.0,High
Senior,Data Engineer,34,9,5,4,9,12,28,96.0,Low
Senior,Business Analyst,51,23,4,5,8,7,29,96.0,Low
Senior,Data Engineer,47,14,4,4,16,18,33,96.0,Low
Junior,Cloud Engineer,34,2,4,3,6,15,18,93.0,Low
Junior,QA Engineer,29,2,3,4,6,33,15,73.2,Low
Senior,System Administrator,54,25,4,4,8,18,24,96.0,Low
Trainee,Data Engineer,25,2,1,3,3,35,7,31.9,High
Trainee,UX Researcher,25,2,1,2,4,37,17,20.4,High
Senior,Database Administrator,47,19,5,4,8,17,19,96.0,Low
Senior,IT Manager,46,22,4,5,13,21,24,96.0,Low
Junior,IT Manager,27,5,2,3,9,14,18,79.75,Medium
Trainee,Support Analyst,26,1,2,3,2,37,11,35.75,High
Senior,Solution Architect,42,10,5,4,17,12,24,96.0,Low
Senior,Data Scientist,34,8,3,4,16,17,19,96.0,Low
Senior,Cloud Engineer,51,22,4,5,16,16,27,96.0,Low
Junior,System Analyst,34,3,3,4,9,19,14,86.75,Low
Senior,System Administrator,44,16,3,4,12,10,33,96.0,Low
Trainee,Support Analyst,21,1,3,1,1,30,6,31.75,High
Junior,Cloud Engineer,29,3,2,3,4,23,15,64.85,Medium
Senior,System Analyst,34,9,4,3,10,22,21,96.0,Low
Junior,Database Administrator,28,3,2,3,8,28,20,64.95,Medium
Junior,System Administrator,29,2,3,2,5,19,12,66.9,Medium
Junior,System Analyst,25,5,3,3,8,13,11,81.75,Medium
Junior,Database Administrator,27,6,4,4,10,27,18,96.0,Low
Senior,UX Designer,47,14,5,3,12,8,25,96.0,Low
Senior,Support Analyst,47,24,4,5,14,19,24,96.0,Low
Senior,UX Designer,51,21,5,5,15,22,19,96.0,Low
Trainee,UX Designer,22,0,3,2,3,27,6,47.2,High
Senior,Data Analyst,40,12,4,3,13,12,28,96.0,Low
Senior,UX Researcher,49,18,5,4,17,9,20,96.0,Low
Trainee,IT Manager,23,2,1,4,4,42,15,41.1,Medium
Junior,Cloud Engineer,34,6,3,4,6,32,11,78.1,Medium
Senior,Data Scientist,56,23,4,3,11,23,37,96.0,Low
Trainee,Database Administrator,26,1,1,3,4,31,15,36.35,High
Senior,IT Manager,43,12,4,4,18,10,31,96.0,Low
Trainee,Cloud Engineer,22,1,1,3,1,32,17,35.75,High
Trainee,Solution Architect,21,1,3,2,3,44,12,36.15,High
Trainee,Business Analyst,21,1,2,3,3,43,12,35.85,High
Senior,Database Administrator,38,10,5,4,17,6,22,96.0,Low
Senior,System Analyst,44,12,3,5,9,15,33,96.0,Low
Trainee,Data Analyst,23,1,3,2,1,30,13,44.55,High
Senior,IT Manager,51,22,5,3,9,16,27,96.0,Low
Trainee,UX Researcher,26,1,1,2,4,33,12,25.75,High
Junior,Solution Architect,25,5,3,2,6,16,13,75.65,Medium
Senior,IT Manager,45,14,5,4,15,18,37,96.0,Low
Trainee,Data Engineer,24,1,2,3,3,30,8,45.35,High
Senior,Data Engineer,33,8,4,3,10,18,18,96.0,Low
Senior,IT Manager,56,24,5,5,11,10,28,96.0,Low
Senior,System Analyst,53,25,5,5,17,18,33,96.0,Low
Trainee,UX Researcher,23,2,1,2,4,30,16,29.9,High
Junior,Data Analyst,24,4,2,3,5,28,16,60.1,Medium
Senior,DevOps Engineer,48,16,4,5,9,14,30,96.0,Low
Trainee,Database Administrator,24,1,2,3,3,22,7,48.55,Medium
Junior,Support Analyst,27,5,3,4,8,31,19,78.35,Low
Senior,Data Engineer,47,22,4,5,9,19,22,96.0,Low
Junior,Solution Architect,32,7,3,4,10,31,22,89.25,Low
Trainee,Data Analyst,24,1,1,4,2,39,16,36.35,High
Junior,DevOps Engineer,32,5,3,4,9,17,12,91.25,Low
Trainee,Solution Architect,21,1,1,3,4,29,10,39.75,High
Junior,Data Engineer,24,4,4,5,8,30,12,96.0,Low
Trainee,Data Analyst,25,1,2,2,2,45,6,18.0,High
Senior,Solution Architect,45,22,5,4,15,21,22,96.0,Low
Senior,UX Researcher,43,17,4,4,12,22,18,96.0,Low
Junior,IT Manager,24,4,4,3,8,20,15,93.0,Low
Trainee,System Administrator,25,0,2,2,1,44,14,20.7,High
Junior,UX Designer,28,3,4,3,5,19,14,87.15,Low
Senior,Business Analyst,36,11,4,4,17,21,23,96.0,Low
Senior,Data Engineer,51,23,4,4,17,8,36,96.0,Low
Junior,DevOps Engineer,29,6,4,5,4,14,22,96.0,Low
Junior,Data Scientist,25,5,3,3,4,26,21,77.05,Medium
Senior,Data Scientist,44,11,4,4,13,8,35,96.0,Low
Senior,QA Engineer,53,21,4,5,8,22,24,96.0,Low
Junior,Support Analyst,32,3,3,3,8,27,14,70.25,Medium
Junior,Support Analyst,33,5,3,4,4,31,20,75.15,Low
Junior,IT Manager,32,6,2,3,5,25,19,69.3,Medium
Senior,Database Administrator,43,14,4,4,13,18,18,96.0,Low
Junior,System Administrator,28,6,2,4,9,33,17,70.5,Medium
Trainee,IT Manager,26,2,1,2,4,39,17,23.0,High
Trainee,IT Manager,26,2,3,1,3,30,13,43.8,Medium
Trainee,QA Engineer,23,2,3,2,4,42,10,32.1,High
Junior,UX Researcher,29,6,3,4,8,27,18,84.2,Low
Senior,UX Designer,50,20,4,4,14,17,30,96.0,Low
Senior,Data Analyst,44,12,5,5,11,18,27,96.0,Low
Junior,System Administrator,31,7,3,3,5,14,11,80.25,Medium
Trainee,UX Researcher,24,0,2,3,3,24,10,47.9,Medium
Junior,QA Engineer,33,4,4,3,4,16,21,91.6,Low
Senior,UX Researcher,51,19,5,4,9,9,32,96.0,Low
Senior,System Administrator,45,15,4,4,11,17,28,96.0,Low
Trainee,DevOps Engineer,25,2,1,2,3,43,17,18.0,High
Senior,Data Scientist,39,12,5,5,18,11,20,96.0,Low
Junior,Solution Architect,28,5,4,3,7,27,22,93.45,Low
Trainee,Data Engineer,26,0,1,3,1,39,9,27.2,High
Trainee,QA Engineer,25,2,2,2,1,45,10,18.0,High
Junior,IT Manager,27,7,3,3,5,23,11,77.95,Medium
Senior,Solution Architect,40,10,4,4,15,13,18,96.0,Low
Trainee,Database Administrator,22,0,2,3,3,30,17,46.5,Medium
Trainee,Data Analyst,24,2,1,1,1,40,16,18.0,High
Trainee,System Analyst,25,1,2,4,4,32,16,53.05,Medium
Senior,IT Manager,49,19,4,3,14,13,32,96.0,Low
Trainee,Business Analyst,21,1,3,2,2,34,11,42.85,High
Trainee,Data Analyst,23,0,1,2,4,39,6,18.0,High
Junior,QA Tester,25,5,3,5,8,24,10,88.65,Low
Junior,Database Administrator,28,4,3,4,7,25,14,82.2,Low
Trainee,DevOps Engineer,22,2,3,2,2,24,13,53.1,Medium
Junior,System Administrator,32,5,4,2,5,28,19,74.75,Medium
Junior,Cloud Engineer,30,4,3,3,5,29,19,73.6,Medium
Senior,QA Tester,38,14,4,4,18,21,27,96.0,Low
Senior,Solution Architect,32,8,4,4,18,12,35,96.0,Low
Junior,UX Designer,26,5,3,3,10,19,15,82.95,Low
Junior,System Analyst,29,4,4,4,8,13,13,96.0,Low
Senior,Support Analyst,46,23,4,5,14,13,30,96.0,Low
Junior,DevOps Engineer,25,5,2,3,10,17,21,77.75,Medium
Senior,Database Administrator,47,14,5,3,11,13,31,96.0,Low
Trainee,Database Administrator,23,1,1,3,2,31,13,33.75,High
Junior,UX Researcher,28,6,3,3,9,15,10,82.3,Medium
Junior,Database Administrator,28,7,2,4,8,23,13,75.45,Low
Trainee,Cloud Engineer,21,1,2,2,4,32,14,39.25,High
Junior,Support Analyst,31,6,4,3,5,13,20,94.1,Low
Senior,System Administrator,34,8,3,3,12,8,20,96.0,Low
Senior,UX Designer,36,13,3,4,8,8,34,96.0,Low
Junior,UX Researcher,28,7,4,3,9,22,14,89.45,Low
Junior,Database Administrator,28,6,3,4,9,27,21,86.3,Low
Senior,System Administrator,43,20,4,4,18,8,37,96.0,Low
Junior,System Analyst,30,3,2,3,8,19,12,67.05,Medium
Junior,UX Researcher,26,3,3,4,7,21,17,85.75,Low
Senior,DevOps Engineer,42,12,4,4,14,21,21,96.0,Low
Junior,Data Engineer,29,3,3,4,6,19,19,89.05,Low
Trainee,DevOps Engineer,21,1,3,4,2,40,11,56.65,High
Junior,UX Designer,26,6,2,3,6,29,12,61.6,Medium
Trainee,QA Tester,24,1,3,3,4,34,12,51.05,Medium
Senior,Data Scientist,56,24,4,3,8,13,27,96.0,Low
Junior,Data Analyst,26,3,4,4,10,28,19,93.35,Low
Junior,DevOps Engineer,32,5,3,3,4,17,14,79.55,Low
Senior,Cloud Engineer,48,20,5,5,10,8,33,96.0,Low
Senior,Business Analyst,55,25,5,4,9,7,22,96.0,Low
Senior,Data Analyst,53,21,5,4,15,12,23,96.0,Low
Trainee,System Analyst,25,2,3,3,4,45,12,44.8,Medium
Junior,Business Analyst,24,3,4,5,7,17,12,96.0,Low
Senior,UX Researcher,34,10,4,5,11,16,20,96.0,Low
Senior,UX Designer,37,13,4,4,13,10,20,96.0,Low
Junior,Data Engineer,32,2,3,4,5,25,14,81.5,Low
Junior,Data Engineer,29,7,2,3,7,20,21,73.85,Medium
Trainee,DevOps Engineer,21,1,1,2,1,35,13,19.05,High
Trainee,System Administrator,23,2,1,2,4,26,11,30.7,High
Trainee,Cloud Engineer,26,1,1,1,1,40,14,18.0,High
Senior,System Administrator,38,9,4,4,11,16,26,96.0,Low
Trainee,Business Analyst,23,2,2,2,1,37,11,25.3,High
Junior,Cloud Engineer,26,6,2,5,5,22,15,83.8,Low
Senior,QA Engineer,47,18,5,4,10,7,37,96.0,Low
Senior,QA Engineer,39,11,5,5,15,21,25,96.0,Low
Junior,QA Tester,27,4,3,3,8,33,13,67.1,Medium
Junior,System Administrator,26,5,2,5,9,13,17,92.05,Low
Junior,Data Scientist,33,3,3,4,7,32,20,82.25,Low
Senior,Data Engineer,52,23,4,4,13,15,18,96.0,Low
Senior,System Administrator,37,10,3,5,18,16,35,96.0,Low
Trainee,UX Researcher,22,2,3,2,3,34,9,43.4,High
Junior,System Analyst,32,6,3,4,6,16,22,90.7,Low
Trainee,System Analyst,26,1,1,3,2,41,7,23.35,High
Trainee,System Administrator,24,0,2,2,3,42,11,22.7,High
Trainee,System Administrator,23,0,2,2,1,40,10,21.9,High
Senior,DevOps Engineer,41,10,5,4,9,19,32,96.0,Low
Junior,System Analyst,28,3,4,4,7,23,14,92.15,Low
Senior,Data Engineer,37,14,4,4,13,19,34,96.0,Low
Junior,Solution Architect,25,4,2,3,9,12,12,78.3,Medium
Trainee,IT Manager,22,1,3,3,1,33,7,53.05,High
Senior,Solution Architect,45,20,4,3,18,7,30,96.0,Low
Trainee,QA Engineer,26,0,1,2,2,44,12,18.0,High
Trainee,UX Researcher,24,1,2,1,4,33,12,27.75,High
Junior,Solution Architect,28,6,2,3,5,14,12,74.2,Medium
Trainee,Support Analyst,21,0,3,4,4,45,13,50.3,Medium
Junior,QA Tester,25,5,4,3,9,26,15,84.15,Low
Junior,Database Administrator,33,6,3,3,7,25,22,78.3,Medium
Junior,QA Engineer,24,3,4,3,8,26,10,80.35,Medium
Trainee,Database Administrator,22,2,3,3,2,27,14,57.4,Medium
Junior,Data Scientist,29,6,3,4,9,24,16,89.4,Low
Junior,DevOps Engineer,25,2,4,2,10,30,12,75.7,Medium
Trainee,Support Analyst,24,2,3,2,1,30,6,40.2,High
Senior,Data Engineer,41,18,4,5,13,17,26,96.0,Low
Trainee,Support Analyst,21,0,1,1,4,32,13,18.0,High
Trainee,IT Manager,24,1,2,3,4,43,12,40.75,High
Senior,Data Scientist,46,14,4,5,18,12,28,96.0,Low
Senior,Database Administrator,48,17,4,4,17,17,22,96.0,Low
Senior,System Administrator,44,18,3,5,15,7,35,96.0,Low
Trainee,Solution Architect,23,1,1,3,3,42,9,29.35,High
Junior,UX Designer,34,4,3,5,10,32,17,90.2,Low
Trainee,Solution Architect,26,2,3,2,1,26,11,52.0,High
Trainee,Support Analyst,21,1,3,2,2,24,17,49.25,Medium
Junior,DevOps Engineer,32,3,4,5,4,33,17,94.65,Low
Senior,System Administrator,32,9,4,4,8,18,28,96.0,Low
Senior,IT Manager,38,9,5,5,12,10,34,96.0,Low
Senior,UX Researcher,43,12,5,3,9,18,30,96.0,Low
Senior,Solution Architect,53,23,4,5,11,22,29,96.0,Low
Trainee,System Analyst,25,1,2,3,1,35,14,39.45,High
Trainee,Data Analyst,25,0,3,1,3,28,6,36.5,High
Junior,System Administrator,27,2,3,5,7,22,21,94.2,Low
Trainee,QA Engineer,22,2,2,2,4,22,10,41.1,High
Senior,Cloud Engineer,40,14,4,5,18,24,28,96.0,Low
Senior,Cloud Engineer,44,15,4,4,10,22,23,96.0,Low
Senior,System Administrator,41,17,3,3,18,21,35,96.0,Low
Trainee,Support Analyst,23,2,1,1,3,44,11,18.0,High
Senior,Data Analyst,54,21,4,4,13,21,35,96.0,Low
Trainee,Support Analyst,21,0,2,4,4,45,6,37.5,High
Trainee,System Administrator,21,0,2,2,4,27,13,39.9,High
Junior,Data Engineer,25,4,4,4,10,32,14,92.0,Low
Junior,Support Analyst,31,5,4,3,6,22,21,88.65,Low
Senior,QA Tester,49,24,5,4,8,12,21,96.0,Low
Senior,UX Researcher,38,12,3,4,15,19,29,96.0,Low
Junior,UX Researcher,26,4,3,4,8,24,20,86.2,Low
Senior,QA Tester,41,8,5,4,16,21,28,96.0,Low
Senior,UX Researcher,52,19,4,4,17,20,36,96.0,Low
Senior,UX Researcher,40,8,5,5,14,8,18,96.0,Low
Senior,Support Analyst,50,20,5,4,8,11,33,96.0,Low
Trainee,DevOps Engineer,21,1,1,2,3,35,16,22.05,High
Junior,Cloud Engineer,28,5,3,4,7,18,11,88.35,Low
Trainee,DevOps Engineer,26,1,2,1,3,27,9,31.85,High
Junior,Support Analyst,31,3,3,4,5,21,15,80.15,Low
Senior,Solution Architect,56,24,4,4,16,24,32,96.0,Low
Junior,Cloud Engineer,28,4,3,2,9,27,15,69.0,Medium
Junior,System Administrator,31,4,2,3,9,33,15,60.8,Medium
Junior,Data Analyst,27,5,4,3,6,25,16,83.55,Low
Senior,System Administrator,32,9,5,4,8,6,31,96.0,Low
Senior,Data Analyst,36,11,3,4,16,21,25,96.0,Low
Junior,DevOps Engineer,28,7,3,4,5,17,16,90.15,Low
Trainee,Database Administrator,26,1,1,2,1,44,12,18.0,High
Junior,Database Administrator,28,6,4,4,9,30,16,92.2,Low
Junior,QA Tester,28,2,3,3,8,27,16,71.6,Medium
Trainee,DevOps Engineer,26,1,3,2,4,32,16,50.05,Medium
Junior,DevOps Engineer,24,3,4,4,10,29,18,95.25,Low
Junior,System Administrator,26,2,4,3,7,31,13,78.7,Low
Senior,Support Analyst,33,9,4,5,14,7,34,96.0,Low
Junior,Data Scientist,33,4,2,3,8,13,22,79.7,Medium
Senior,Support Analyst,45,22,4,3,17,15,23,96.0,Low
Senior,QA Tester,36,8,5,4,18,6,34,96.0,Low
Junior,UX Researcher,34,3,3,3,5,17,22,80.75,Low
Trainee,Support Analyst,21,0,2,2,1,27,7,31.8,High
Senior,DevOps Engineer,42,18,4,4,8,14,26,96.0,Low
Trainee,Business Analyst,21,0,2,4,1,25,15,55.4,Medium
Junior,IT Manager,27,6,4,3,6,12,20,96.0,Low
Senior,System Analyst,44,16,5,5,12,6,22,96.0,Low
Senior,QA Tester,36,12,5,4,12,13,31,96.0,Low
Trainee,System Analyst,23,0,2,3,3,30,10,42.7,High
Senior,DevOps Engineer,48,15,3,4,9,8,37,96.0,Low
Junior,Solution Architect,28,7,2,4,9,16,14,85.65,Low
Trainee,Business Analyst,24,2,3,3,4,39,7,48.0,High
Junior,IT Manager,26,5,3,4,4,13,12,91.55,Low
Senior,DevOps Engineer,43,13,4,4,14,12,27,96.0,Low
Junior,Business Analyst,29,4,4,5,6,30,14,95.8,Low
Senior,System Analyst,46,21,5,3,18,17,21,96.0,Low
Senior,UX Researcher,38,8,4,5,10,12,35,96.0,Low
Senior,QA Engineer,50,25,5,3,11,14,35,96.0,Low
Senior,Data Scientist,40,10,3,4,9,24,33,96.0,Low
Senior,Database Administrator,51,22,5,4,10,12,19,96.0,Low
Junior,Business Analyst,27,6,3,3,8,13,20,86.8,Low
